flow_id,src_idx,dst_idx,src_ip,dst_ip,txPkts,rxPkts,txBytes,rxBytes,throughput_mbps,avg_delay_ms,loss_pct
1,7,8,10.0.10.2,10.0.11.2,71619,0,38674260,0,0,0,100
2,8,3,10.0.11.2,10.0.2.2,71532,7412,38627280,4002480,0.819564,2470.98,0
3,0,13,10.0.1.1,10.0.16.2,70487,0,38062980,0,0,0,100
4,2,0,10.0.1.2,10.0.1.1,70470,2195,38053800,1185300,0.245144,2403.66,0
5,11,5,10.0.14.2,10.0.4.2,70436,4796,38035440,2589840,0.535875,2470.05,0
6,7,5,10.0.10.2,10.0.4.2,70052,2042,37828080,1102680,0.238101,1136.92,0
7,4,10,10.0.3.2,10.0.13.2,69909,0,37750860,0,0,0,100
8,9,6,10.0.12.2,10.0.9.2,69853,2081,37720620,1123740,0.241534,1446.01,0
9,6,7,10.0.9.2,10.0.10.2,69735,4453,37656900,2404620,0.51316,1688.13,0
10,4,11,10.0.3.2,10.0.14.2,69482,0,37520280,0,0,0,100
11,7,0,10.0.10.2,10.0.1.1,69185,1981,37359900,1069740,0.233712,1137.24,0
12,0,10,10.0.1.1,10.0.13.2,69181,0,37357740,0,0,0,100
13,13,0,10.0.16.2,10.0.1.1,69147,6873,37339380,3711420,0.782257,2445.04,0
14,0,9,10.0.1.1,10.0.12.2,69124,0,37326960,0,0,0,100
15,0,8,10.0.1.1,10.0.11.2,68979,0,37248660,0,0,0,100
16,6,7,10.0.9.2,10.0.10.2,68781,4290,37141740,2316600,0.500591,1735.11,0
17,1,7,10.0.5.1,10.0.10.2,68124,4439,36786960,2397060,0.514299,3334.41,0
18,6,9,10.0.9.2,10.0.12.2,68013,0,36727020,0,0,0,100
19,11,10,10.0.14.2,10.0.13.2,67643,0,36527220,0,0,0,100
20,0,6,10.0.1.1,10.0.9.2,67523,1917,36462420,1035180,0.231924,1012.5,0
21,2,8,10.0.1.2,10.0.11.2,66839,0,36093060,0,0,0,100
22,9,5,10.0.12.2,10.0.4.2,66059,3112,35671860,1680480,0.381668,1280.59,0
23,13,2,10.0.16.2,10.0.1.2,65675,1965,35464500,1061100,0.231715,2682.31,0
24,9,6,10.0.12.2,10.0.9.2,65038,1856,35120520,1002240,0.23004,1376.66,0
25,7,8,10.0.10.2,10.0.11.2,64495,0,34827300,0,0,0,100
26,7,1,10.0.10.2,10.0.5.1,64326,2378,34736040,1284120,0.301233,1031.96,0
27,8,5,10.0.11.2,10.0.4.2,64150,6199,34641000,3347460,0.752826,2530.13,0
28,9,11,10.0.12.2,10.0.14.2,63610,0,34349400,0,0,0,100
29,7,11,10.0.10.2,10.0.14.2,63006,0,34023240,0,0,0,100
30,1,2,10.0.5.1,10.0.1.2,62738,12079,33878520,6522660,1.50575,2499.13,0
