flow_id,src_idx,dst_idx,src_ip,dst_ip,txPkts,rxPkts,txBytes,rxBytes,throughput_mbps,avg_delay_ms,loss_pct
1,1,7,10.0.5.1,10.0.10.2,71619,4962,38674260,2679480,0.548362,2860.16,0
2,0,13,10.0.1.1,10.0.16.2,71532,0,38627280,0,0,0,100
3,0,6,10.0.1.1,10.0.9.2,70487,1990,38062980,1074600,0.230909,971.011,0
4,13,0,10.0.16.2,10.0.1.1,70470,6924,38053800,3738960,0.775192,2452.28,0
5,4,10,10.0.3.2,10.0.13.2,70436,0,38035440,0,0,0,100
6,0,10,10.0.1.1,10.0.13.2,70052,0,37828080,0,0,0,100
7,9,5,10.0.12.2,10.0.4.2,69909,3345,37750860,1806300,0.38895,1291.61,0
8,9,6,10.0.12.2,10.0.9.2,69853,1933,37720620,1043820,0.224378,1377.11,0
9,6,7,10.0.9.2,10.0.10.2,69735,4430,37656900,2392200,0.510652,1721.12,0
10,6,9,10.0.9.2,10.0.12.2,69482,0,37520280,0,0,0,100
11,0,9,10.0.1.1,10.0.12.2,69185,0,37359900,0,0,0,100
12,1,2,10.0.5.1,10.0.1.2,69181,13074,37357740,7059960,1.50108,2486.41,0
13,11,5,10.0.14.2,10.0.4.2,69147,4478,37339380,2418120,0.509159,2531.26,0
14,11,10,10.0.14.2,10.0.13.2,69124,0,37326960,0,0,0,100
15,8,5,10.0.11.2,10.0.4.2,68979,6574,37248660,3549960,0.749376,2519.53,0
16,8,3,10.0.11.2,10.0.2.2,68781,6534,37141740,3528360,0.747315,2518.6,0
17,7,5,10.0.10.2,10.0.4.2,68124,1881,36786960,1015740,0.22624,973.848,0
18,9,11,10.0.12.2,10.0.14.2,68013,0,36727020,0,0,0,100
19,13,2,10.0.16.2,10.0.1.2,67643,1906,36527220,1029240,0.219058,2659.05,0
20,0,8,10.0.1.1,10.0.11.2,67523,0,36462420,0,0,0,100
21,7,11,10.0.10.2,10.0.14.2,66839,0,36093060,0,0,0,100
22,6,7,10.0.9.2,10.0.10.2,66059,4129,35671860,2229660,0.498931,1723.91,0
23,7,0,10.0.10.2,10.0.1.1,65675,1736,35464500,937440,0.2162,950.256,0
24,9,6,10.0.12.2,10.0.9.2,65038,1740,35120520,939600,0.214856,1376.49,0
25,7,8,10.0.10.2,10.0.11.2,64495,0,34827300,0,0,0,100
26,4,11,10.0.3.2,10.0.14.2,64326,0,34736040,0,0,0,100
27,2,0,10.0.1.2,10.0.1.1,64150,1798,34641000,970920,0.217785,2487.36,0
28,7,1,10.0.10.2,10.0.5.1,63610,1948,34349400,1051920,0.25051,865.084,0
29,2,8,10.0.1.2,10.0.11.2,63006,0,34023240,0,0,0,100
30,7,8,10.0.10.2,10.0.11.2,62738,0,33878520,0,0,0,100
