flow_id,src_idx,dst_idx,src_ip,dst_ip,txPkts,rxPkts,txBytes,rxBytes,throughput_mbps,avg_delay_ms,loss_pct
1,8,3,10.0.11.2,10.0.2.2,71619,7131,38674260,3850740,0.787386,2441.05,0
2,0,6,10.0.1.1,10.0.9.2,71532,2380,38627280,1285200,0.272888,1021.18,0
3,13,2,10.0.16.2,10.0.1.2,70487,2187,38062980,1180980,0.244013,2538.21,0
4,11,5,10.0.14.2,10.0.4.2,70470,4607,38053800,2487780,0.515278,2497.74,0
5,9,5,10.0.12.2,10.0.4.2,70436,3404,38035440,1838160,0.393092,1279.49,0
6,1,2,10.0.5.1,10.0.1.2,70052,14442,37828080,7798680,1.64175,2360.46,0
7,7,11,10.0.10.2,10.0.14.2,69909,0,37750860,0,0,0,100
8,9,6,10.0.12.2,10.0.9.2,69853,1982,37720620,1070280,0.229513,1361.12,0
9,6,7,10.0.9.2,10.0.10.2,69735,4806,37656900,2595240,0.55401,1659.78,0
10,7,5,10.0.10.2,10.0.4.2,69482,1930,37520280,1042200,0.22783,964.124,0
11,11,10,10.0.14.2,10.0.13.2,69185,0,37359900,0,0,0,100
12,2,8,10.0.1.2,10.0.11.2,69181,0,37357740,0,0,0,100
13,4,10,10.0.3.2,10.0.13.2,69147,0,37339380,0,0,0,100
14,9,11,10.0.12.2,10.0.14.2,69124,0,37326960,0,0,0,100
15,4,11,10.0.3.2,10.0.14.2,68979,0,37248660,0,0,0,100
16,0,13,10.0.1.1,10.0.16.2,68781,0,37141740,0,0,0,100
17,0,10,10.0.1.1,10.0.13.2,68124,0,36786960,0,0,0,100
18,2,0,10.0.1.2,10.0.1.1,68013,1931,36727020,1042740,0.222434,2448.04,0
19,7,0,10.0.10.2,10.0.1.1,67643,1806,36527220,975240,0.218813,953.025,0
20,8,5,10.0.11.2,10.0.4.2,67523,6454,36462420,3485160,0.749915,2527.89,0
21,7,1,10.0.10.2,10.0.5.1,66839,2071,36093060,1118340,0.254216,868.393,0
22,6,7,10.0.9.2,10.0.10.2,66059,4168,35671860,2250720,0.504556,1705.49,0
23,0,9,10.0.1.1,10.0.12.2,65675,0,35464500,0,0,0,100
24,9,6,10.0.12.2,10.0.9.2,65038,1734,35120520,936360,0.215022,1371.93,0
25,7,8,10.0.10.2,10.0.11.2,64495,0,34827300,0,0,0,100
26,6,9,10.0.9.2,10.0.12.2,64326,0,34736040,0,0,0,100
27,13,0,10.0.16.2,10.0.1.1,64150,6182,34641000,3338280,0.751237,2524.56,0
28,7,8,10.0.10.2,10.0.11.2,63610,0,34349400,0,0,0,100
29,0,8,10.0.1.1,10.0.11.2,63006,0,34023240,0,0,0,100
30,1,7,10.0.5.1,10.0.10.2,62738,4225,33878520,2281500,0.523657,3048.37,0
