flow_id,src_idx,dst_idx,src_ip,dst_ip,txPkts,rxPkts,txBytes,rxBytes,throughput_mbps,avg_delay_ms,loss_pct
1,0,13,10.0.1.1,10.0.16.2,71619,0,38674260,0,0,0,100
2,13,2,10.0.16.2,10.0.1.2,71532,2251,38627280,1215540,0.24775,2439.82,0
3,7,0,10.0.10.2,10.0.1.1,70487,1963,38062980,1060020,0.228502,982.963,0
4,4,10,10.0.3.2,10.0.13.2,70470,0,38053800,0,0,0,100
5,7,11,10.0.10.2,10.0.14.2,70436,0,38035440,0,0,0,100
6,2,8,10.0.1.2,10.0.11.2,70052,0,37828080,0,0,0,100
7,7,1,10.0.10.2,10.0.5.1,69909,2284,37750860,1233360,0.268788,927.668,0
8,9,6,10.0.12.2,10.0.9.2,69853,1930,37720620,1042200,0.224256,1370.56,0
9,6,7,10.0.9.2,10.0.10.2,69735,4481,37656900,2419740,0.516108,1706.17,0
10,0,10,10.0.1.1,10.0.13.2,69482,0,37520280,0,0,0,100
11,9,11,10.0.12.2,10.0.14.2,69185,0,37359900,0,0,0,100
12,1,7,10.0.5.1,10.0.10.2,69181,4582,37357740,2474280,0.522972,2969.6,0
13,9,5,10.0.12.2,10.0.4.2,69147,3246,37339380,1752840,0.381112,1302.63,0
14,2,0,10.0.1.2,10.0.1.1,69124,1973,37326960,1065420,0.223835,2444.31,0
15,6,9,10.0.9.2,10.0.12.2,68979,0,37248660,0,0,0,100
16,0,6,10.0.1.1,10.0.9.2,68781,1851,37141740,999540,0.219889,999.808,0
17,1,2,10.0.5.1,10.0.1.2,68124,12880,36786960,6955200,1.49741,2488.61,0
18,13,0,10.0.16.2,10.0.1.1,68013,6493,36727020,3506220,0.749697,2524.49,0
19,0,9,10.0.1.1,10.0.12.2,67643,0,36527220,0,0,0,100
20,4,11,10.0.3.2,10.0.14.2,67523,0,36462420,0,0,0,100
21,0,8,10.0.1.1,10.0.11.2,66839,0,36093060,0,0,0,100
22,6,7,10.0.9.2,10.0.10.2,66059,4126,35671860,2228040,0.498745,1724.39,0
23,11,10,10.0.14.2,10.0.13.2,65675,0,35464500,0,0,0,100
24,9,6,10.0.12.2,10.0.9.2,65038,1728,35120520,933120,0.214171,1377.39,0
25,7,8,10.0.10.2,10.0.11.2,64495,0,34827300,0,0,0,100
26,7,5,10.0.10.2,10.0.4.2,64326,1682,34736040,908280,0.213503,951.877,0
27,11,5,10.0.14.2,10.0.4.2,64150,4107,34641000,2217780,0.498806,2574.7,0
28,7,8,10.0.10.2,10.0.11.2,63610,0,34349400,0,0,0,100
29,8,5,10.0.11.2,10.0.4.2,63006,6084,34023240,3285360,0.750292,2515.07,0
30,8,3,10.0.11.2,10.0.2.2,62738,6032,33878520,3257280,0.747091,2518.18,0
